"abbrev","category","term","p.value","adj.p.value","p.fdr"
"MA","PAL","Cocaine1d",0.0550028694353928,0.0503018366402394,0.141913259560852
"MD","TH","Cocaine1d",0.868299409014999,0.598301690287535,0.641997881151231
"MEA","STR","Cocaine1d",0.033583948433826,0.0312569307572566,0.123919013739161
"MEPO","HY","Cocaine1d",0.597704305193915,0.849715345814839,0.872557156186206
"MEV","MB","Cocaine1d",0.0712584046096015,0.0648798763883998,0.156053593107797
"MG","TH","Cocaine1d",0.641264630452196,0.474528580498771,0.537892931010477
"MH","TH","Cocaine1d",0.607733881765596,0.449179624725532,0.518388569924934
"MM","HY","Cocaine1d",0.0834925704509231,0.0728367285113396,0.164944959847902
"MOB","OLF","Cocaine1d",0.40658149451078,0.324238269151067,0.403449572689602
"MOp1","CTXpl","Cocaine1d",0.0695286585868753,0.0629570111991132,0.156053593107797
"MOp2/3","CTXpl","Cocaine1d",0.0388721750913622,0.03600788095562,0.123919013739161
"MOp5","CTXpl","Cocaine1d",0.0883740591894035,0.079106321464113,0.170726637284131
"MOp6a","CTXpl","Cocaine1d",0.0431358713461841,0.0398131592966009,0.129988263686338
"MOp6b","CTXpl","Cocaine1d",0.0487569843389998,0.0448005291153943,0.137036660886491
"MOs1","CTXpl","Cocaine1d",0.0512278320115485,0.0469800624390031,0.137617152654077
"MOs2/3","CTXpl","Cocaine1d",0.0226208500591245,0.0212941657098147,0.108458284015323
"MOs5","CTXpl","Cocaine1d",0.149221726149694,0.129516031517342,0.21988944017611
"MOs6a","CTXpl","Cocaine1d",0.0187402230041366,0.0177237745030696,0.105607456032914
"MOs6b","CTXpl","Cocaine1d",0.00475636186488982,0.00461008980010724,0.0607260104703782
"MPN","HY","Cocaine1d",0.0123702452907472,0.0116381679930192,0.0819608633424685
"MPO","HY","Cocaine1d",0.1422110448996,0.122199102910433,0.215115471482883
"MPT","MB","Cocaine1d",0.827431175752239,0.567842409639247,0.612756498537267
"MRN","MB","Cocaine1d",0.174536342629671,0.149822797052504,0.240125911388906
"MS","PAL","Cocaine1d",0.614570635080937,0.838835781861625,0.866041266678759
"NB","MB","Cocaine1d",0.270849402991053,0.224056719962955,0.31328346608301
"ND","MB","Cocaine1d",0.700299877979159,0.500011503007186,0.555245331827748
"NDB","PAL","Cocaine1d",0.509382313992009,0.391017707699898,0.459596197973418
"NI","P","Cocaine1d",0.478485910322004,0.366606002990722,0.443175611210303
"NLL","P","Cocaine1d",0.185049244603381,0.159373133768341,0.250537189709902
"NLOT1","OLF","Cocaine1d",0.153433904697413,0.131158768257572,0.221693139267223
"NLOT3","OLF","Cocaine1d",0.0998631622045709,0.0888153510997527,0.180465234681412
"NOT","MB","Cocaine1d",0.65811585514573,0.484787562300109,0.544673084701888
"NPC","MB","Cocaine1d",0.266148316392754,0.220536716804746,0.31281698601702
"NTB","MY","Cocaine1d",0.126731218873731,0.110014968166057,0.204008339026378
"OP","MB","Cocaine1d",0.0353455193612447,0.032843208586266,0.123919013739161
"ORBl1","CTXpl","Cocaine1d",0.359971723527024,0.289038375456447,0.368419252638349
"ORBl2/3","CTXpl","Cocaine1d",0.572380233012636,0.431636826023643,0.499652325881914
"ORBl5","CTXpl","Cocaine1d",0.293148584418967,0.240608576145008,0.325198979799976
"ORBl6a","CTXpl","Cocaine1d",0.272389887663069,0.225186039241065,0.31328346608301
"ORBm1","CTXpl","Cocaine1d",3.83136835349186e-07,0.999999999450052,0.999999999450052
"ORBm2/3","CTXpl","Cocaine1d",0.0596463179778616,0.99369600195766,0.998925980915332
"ORBm5","CTXpl","Cocaine1d",0.996621368951994,0.664967959230428,0.701706520513877
"ORBm6a","CTXpl","Cocaine1d",0.745972764445941,0.53677608126483,0.587531412731132
"ORBvl1","CTXpl","Cocaine1d",0.848259025230274,0.594274352717723,0.639472683769494
"ORBvl2/3","CTXpl","Cocaine1d",0.370173378421609,0.29625901042639,0.373501458689376
"ORBvl5","CTXpl","Cocaine1d",0.169204791261258,0.145560293367627,0.236184944362864
"ORBvl6a","CTXpl","Cocaine1d",0.0662885723941029,0.0601464562333615,0.154200981752645
"ORBvl6b","CTXpl","Cocaine1d",0.0965114110994242,0.0835019319969841,0.174304579359825
"OT","STR","Cocaine1d",0.0705172121772343,0.0638092415594091,0.156053593107797
"PA","CTXsp","Cocaine1d",0.00440917713220072,0.00427763497390676,0.0607260104703782
"PAA","OLF","Cocaine1d",0.25167798453673,0.209634967316981,0.302842463223545
"PAG","MB","Cocaine1d",0.165338563276234,0.142485042493721,0.232603787318809
"PAR","HPF","Cocaine1d",0.215410302069105,0.181882885097411,0.271403367606293
"PB","P","Cocaine1d",0.232416538181679,0.196501578932185,0.290944198263933
"PBG","MB","Cocaine1d",0.184580945275274,0.159001370531283,0.250537189709902
"PCG","P","Cocaine1d",0.192233577145288,0.166597418162829,0.257652687199194
"PCN","TH","Cocaine1d",0.681233953704242,0.492476861751299,0.550076494704668
"PD","HY","Cocaine1d",0.314036601764061,0.24486786278831,0.329364519665966
"PERI1","CTXpl","Cocaine1d",0.127679250975387,0.111945678702374,0.205592544539937
"PERI2/3","CTXpl","Cocaine1d",0.127193639947762,0.111546948534989,0.205592544539937
"PERI5","CTXpl","Cocaine1d",0.0978916750978659,0.0871570525613381,0.178999968163608
"PERI6a","CTXpl","Cocaine1d",0.123955742318062,0.108879364486598,0.202887401140881
"PERI6b","CTXpl","Cocaine1d",0.169625823241919,0.145915305941455,0.236184944362864
"PF","TH","Cocaine1d",0.097201830155723,0.0865751738535823,0.178766034659829
"PG","P","Cocaine1d",0.45575694745729,0.350554889586941,0.427831544752063
"PH","HY","Cocaine1d",0.403612890111532,0.315316488160856,0.39492097861458
"PIR","OLF","Cocaine1d",0.0381789048095982,0.0353855230200864,0.123919013739161
"PL1","CTXpl","Cocaine1d",0.14247063086324,0.977826533409028,0.988173904132933
"PL2/3","CTXpl","Cocaine1d",0.143495983896848,0.981769226815949,0.989540487186524
"PL5","CTXpl","Cocaine1d",0.739074709991445,0.530238101509378,0.582042973495926
"PL6a","CTXpl","Cocaine1d",0.286902861230652,0.23600376559567,0.321976565919807
"PL6b","CTXpl","Cocaine1d",0.0610460377563936,0.0549363225215069,0.14675297344906
"PMd","HY","Cocaine1d",0.00745770553405206,0.00709013448562656,0.070540310733732
"PMv","HY","Cocaine1d",0.0205756810091537,0.0186272733684737,0.105607456032914
