"abbrev","category","term","p.value","adj.p.value","p.fdr"
"GPe","PAL","Sugar1d",0.63993196123467,0.474499690974291,0.506309726123405
"GPi","PAL","Sugar1d",0,0,0
"GU1","CTXpl","Sugar1d",0.0778010556523967,0.0701904468538744,0.12903530051446
"GU2/3","CTXpl","Sugar1d",0.0601506824496341,0.0548912160440104,0.115786736496625
"GU4","CTXpl","Sugar1d",0.108539063706254,0.0962443766404459,0.154476268389287
"GU5","CTXpl","Sugar1d",0.356501429875371,0.287077628559589,0.33742662803004
"GU6a","CTXpl","Sugar1d",0.368473017830992,0.295589090321273,0.346365130376461
"GU6b","CTXpl","Sugar1d",0.000811091335385063,0.000801553094264329,0.0141144834623669
"IA","STR","Sugar1d",0.0622615885932205,0.0567338354762048,0.115894786908611
"IAD","TH","Sugar1d",0.325384880918499,0.267403611644616,0.322234005199506
"IC","MB","Sugar1d",0.0384354581081391,0.0356642457318749,0.0966222827629518
"IGL","TH","Sugar1d",0.0618535731848056,0.0563778350480949,0.115786736496625
"ILA2/3","CTXpl","Sugar1d",0.0785218266500701,0.0714317248849938,0.130559420603194
"ILA5","CTXpl","Sugar1d",0.17897355833464,0.155133284094205,0.213938319581179
"ILA6a","CTXpl","Sugar1d",0.0129799915894679,0.0124632063194933,0.0573607808921257
"ILA6b","CTXpl","Sugar1d",0.00798711228597583,0.007731185191721,0.0454122247510902
"INC","MB","Sugar1d",0.615565738097648,0.466407643403594,0.501880900789219
"IPN","MB","Sugar1d",0.187216303434355,0.163607035115574,0.22241241072651
"IV","MB","Sugar1d",0.296482413106704,0.249010172517843,0.303903788823694
"LA","CTXsp","Sugar1d",0.000946712792089737,0.000932080887230846,0.0142421959568873
"LD","TH","Sugar1d",0.8525874522932,0.597527554478848,0.625357604961424
"LDT","P","Sugar1d",0.493761010567146,0.381404095284075,0.424770741686637
"LGd","TH","Sugar1d",0.345246707823422,0.279020561896568,0.328968687174348
"LGv","TH","Sugar1d",0.0466999046831865,0.043039090554587,0.10471931587167
"LH","TH","Sugar1d",0.0596376665733633,0.0548962744228094,0.115786736496625
"LHA","HY","Sugar1d",1.81663961379548e-05,1.81243036760925e-05,0.000865435500533418
"LM","HY","Sugar1d",0.234516828385945,0.198925381582382,0.25672126947456
"LP","TH","Sugar1d",0.22401964066152,0.188859658488829,0.247069827201139
"LPO","HY","Sugar1d",1.45143043066158e-05,1.44837315599888e-05,0.000790397922273676
"LSc","STR","Sugar1d",0.0744695722813367,0.0679073821130911,0.128843440083631
"LSr","STR","Sugar1d",0.000860223317602836,0.000849824920509001,0.0141144834623669
